video_id,title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,likesVSviews,rating,raw_rating
ci-pRMafWvg,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-14 17:30:00,47,71014,1042,65,0.013757850564677387,0.2896355918096197,0.013757850564677387
zTuyooYEtK0,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-07 17:30:02,52,89134,1109,72,0.01163416877959028,0.24165579457752204,0.01163416877959028
UsqFuPaHAN8,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-10 17:30:01,15,15286,463,25,0.02865367002485935,0.6261730157891499,0.02865367002485935
vMk4U-tHvf0,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-09 17:30:02,126,58723,2307,65,0.03817924833540521,0.8413819604944469,0.03817924833540521
dc9wKUgHUeQ,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-05 17:30:01,154,207887,3973,155,0.018365746775892672,0.3937406076519965,0.018365746775892672
B1oSV_YNppI,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-07-04 17:30:02,71,17105,698,32,0.038935983630517396,0.8584786866955265,0.0389359836305174
XBrQcRiKXzc,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-30 17:30:00,87,199727,2572,154,0.012106525407180801,0.2523276265686323,0.0121065254071808
-mY72kv6SK0,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-27 17:30:02,50,15215,519,22,0.032665133092343084,0.7168029707727415,0.032665133092343084
d4ipX-ceJso,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-28 17:30:01,17,8663,176,12,0.018931086228789102,0.40651317673826537,0.018931086228789102
8yvoQlGzCFs,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-23 17:30:00,36,68161,864,61,0.011780930444095597,0.2449715431768921,0.011780930444095596
DfTy21qOvnI,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-21 17:00:02,51,54404,795,65,0.013418131019777957,0.2819603953679896,0.013418131019777957
CnnvhpwUmWw,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-18 17:30:00,107,57061,1766,39,0.030265855838488634,0.6625967158847009,0.030265855838488637
-nTSBiOKw9w,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-16 17:30:01,111,206105,2658,155,0.012144295383421072,0.2531809539429097,0.012144295383421072
uEqPRNRmM20,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-14 17:30:05,37,68571,847,38,0.011797990404106692,0.24535697447261065,0.011797990404106692
3LuhDCIfNTs,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-11 03:00:02,81,53923,1386,86,0.024108450939302337,0.5234840481519664,0.024108450939302337
YFsRNKeAhAg,Laugh Factory,2006-07-31T22:18:05.000Z,1090000,1961,478876765,2019-06-08 17:30:00,68,37601,1081,35,0.027818409084864763,0.6073021798577733,0.027818409084864763
