title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,video_favoriteCount,video_id
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-17T17:00:07.000Z,516,441897,9753,426,0,zuAEpCYPrm8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-19T17:00:08.000Z,36,34491,704,62,0,SWdoTbtN3ng
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-15T17:00:01.000Z,197,77810,1693,265,0,Ju7Q5NI1lxI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-12T17:00:10.000Z,212,184351,4985,299,0,nnw0HPWsaLg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-09T17:00:09.000Z,204,222271,7034,312,0,WmO33cfDjaE
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-10T17:00:02.000Z,143,87300,1922,282,0,LpUzQ8HOjwg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-08T17:00:08.000Z,346,266073,11049,380,0,UH7A1NMaKEI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-04T17:00:17.000Z,135,530059,12942,201,0,zmNI1ujU_fQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-07-03T17:00:12.000Z,187,539280,11001,209,0,vixBJCdV1ic
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-26T17:00:05.000Z,66,36582,711,105,0,Z2S02Vg8nNY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-28T17:00:02.000Z,35,38421,654,150,0,K-6oKxHJdg4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-25T17:01:13.000Z,45,32327,568,107,0,wCi-Lcg4R9w
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-24T17:00:00.000Z,171,67070,1955,264,0,87ihPfyylco
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-23T17:00:00.000Z,173,60499,1139,274,0,8Zdo5wRirwM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-25T18:00:03.000Z,19,29530,726,34,0,SBZTetiZ0B0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-17T17:00:02.000Z,102,85892,2530,175,0,GkCtEp9CGaM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-19T18:00:05.000Z,66,24694,418,240,0,PqXJjHBMftk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-19T17:00:13.000Z,122,108224,2120,165,0,xcEIqHy2gYs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-05-31T17:00:07.000Z,62,131838,2295,89,0,f8QswjMq_io
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-18T17:00:02.000Z,63,34148,460,90,0,j8NhD2wuPPQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-03T17:00:02.000Z,24,14144,169,105,0,NwOZn_WteNA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-14T17:00:11.000Z,179,169126,3428,256,0,w79WVfgddqg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-11T17:00:02.000Z,57,33549,930,46,0,LVq1I4xnCBI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-06-13T17:00:09.000Z,26,78216,878,69,0,fTcK8NVepvA
